1,GEN,Genesis
2,EXO,Exodus
3,LEV,Leviticus
4,NUM,Numbers
5,DEU,Deuteronomy
6,JOS,Joshua
7,JDG,Judges
8,RUT,Ruth
9,1SA,1 Samuel
10,2SA,2 Samuel
11,1KI,1 Kings
12,2KI,2 Kings
13,1CH,1 Chronicles
14,2CH,2 Chronicles
15,EZR,Ezra
16,NEH,Nehemiah
17,EST,Esther (Hebrew)
18,JOB,Job
19,PSA,Psalms
20,PRO,Proverbs
21,ECC,Ecclesiastes
22,SNG,Song of Songs
23,ISA,Isaiah
24,JER,Jeremiah
25,LAM,Lamentations
26,EZK,Ezekiel
27,DAN,Daniel (Hebrew)
28,HOS,Hosea
29,JOL,Joel
30,AMO,Amos
31,OBA,Obadiah
32,JON,Jonah
33,MIC,Micah
34,NAM,Nahum
35,HAB,Habakkuk
36,ZEP,Zephaniah
37,HAG,Haggai
38,ZEC,Zechariah
39,MAL,Malachi
41,MAT,Matthew
42,MRK,Mark
43,LUK,Luke
44,JHN,John
45,ACT,Acts
46,ROM,Romans
47,1CO,1 Corinthians
48,2CO,2 Corinthians
49,GAL,Galatians
50,EPH,Ephesians
51,PHP,Philippians
52,COL,Colossians
53,1TH,1 Thessalonians
54,2TH,2 Thessalonians
55,1TI,1 Timothy
56,2TI,2 Timothy
57,TIT,Titus
58,PHM,Philemon
59,HEB,Hebrews
60,JAS,James
61,1PE,1 Peter
62,2PE,2 Peter
63,1JN,1 John
64,2JN,2 John
65,3JN,3 John
66,JUD,Jude
67,REV,Revelation
