1,GEN,Genesis
2,EXO,Exodus
3,LEV,Leviticus
4,NUM,Numbers
5,DEU,Deuteronomy
6,JOS,Joshua
7,JDG,Judges
8,RUT,Ruth
9,1SA,1 Samuel
10,2SA,2 Samuel
11,1KI,1 Kings
12,2KI,2 Kings
13,1CH,1 Chronicles
14,2CH,2 Chronicles
15,EZR,Ezra
16,NEH,Nehemiah
17,EST,Esther (Hebrew)
18,JOB,Job
19,PSA,Psalms
20,PRO,Proverbs
21,ECC,Ecclesiastes
22,SNG,Song of Songs
23,ISA,Isaiah
24,JER,Jeremiah
25,LAM,Lamentations
26,EZK,Ezekiel
27,DAN,Daniel (Hebrew)
28,HOS,Hosea
29,JOL,Joel
30,AMO,Amos
31,OBA,Obadiah
32,JON,Jonah
33,MIC,Micah
34,NAM,Nahum
35,HAB,Habakkuk
36,ZEP,Zephaniah
37,HAG,Haggai
38,ZEC,Zechariah
39,MAL,Malachi
